Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Nilai Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Juta US$),,,,,,,,,,,,
,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,4.5,9.9,7,29,49.4,51.5,27.7,17,25.3,16.1,10.8,6.7,254.9
Tembakau,2.2,4.6,9.5,2.7,2.6,5.7,14.4,10.8,6.8,6.4,7.4,5.7,78.8
Jagung,0.4,0.4,0.1,0.1,0.1,2.6,0.8,0.1,0.1,0.1,0.2,0.1,5.1
Kopi,168.9,184.5,200.8,152.1,208.2,219.3,208.6,255.2,270.3,248.5,210.1,175.4,2501.9
"Tanaman Obat, Aromatik, dan Rempah-Rempah",33.9,38.5,63.1,46.8,67.5,58.3,62.9,56,56.6,60.2,50.8,47.7,642.3
Lada Hitam,14.3,8.5,7.8,8,4.9,6.5,5.3,6.8,7.2,10.2,7.1,6.1,92.7
Lada Putih,13,15.1,13.7,10.7,12.9,6.6,7.1,8.4,8,8.6,11.3,14.2,129.6
Biji Kakao,6.6,8,4.7,8.2,8.4,8,7.6,5.8,2.2,6,0.2,5.4,71.1
Buah-buahan Tahunan,93,84,59.5,54.2,72.8,40.3,57.9,49.2,58.5,73.5,62.8,54.1,759.8
Sarang Burung,50.1,42.8,52.9,20.6,37.3,26,30.4,41.3,43.7,45.7,40,43.6,474.4
Hasil Hutan Bukan Kayu Lainnya,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.4,0.3,0.3,0.3,3.3
Ikan Segar/Dingin Hasil Tangkapan,13.8,12.1,13.9,10.3,14.1,48.5,12.3,12,12.4,13.8,12.8,13.9,189.9
Rumput Laut dan Ganggang Lainnya,13.7,13.5,14.8,13.5,15.3,12.7,18.3,18.3,16.9,18.7,16.4,12.4,184.5
Lainnya,132.6,142.2,127.1,123.4,140.5,100.7,122.7,122.1,117.1,122.2,113.6,130.7,1494.9
Jumlah,547.3,564.3,575.1,479.9,634.3,586.9,576.2,603.3,625.5,630.3,543.8,516.3,6883.2
