Komoditas,Total_2023,Total_2025,CAGR_%
Kopi,916.6,2501.9,65.21
Lada Hitam,36.0,92.7,60.47
Buah-buahan Tahunan,333.4,759.8,50.96
Lada Putih,63.9,129.6,42.41
Sayur-sayuran,134.0,254.9,37.92
Ikan Segar/Dingin Hasil Tangkapan,106.7,189.9,33.41
Biji Kakao,46.9,71.1,23.13
"Tanaman Obat, Aromatik, dan Rempah-Rempah",465.2,642.3,17.5
Hasil Hutan Bukan Kayu Lainnya,3.1,3.3,3.18
Tembakau,86.8,78.8,-4.72
Sarang Burung,633.4,474.4,-13.46
Rumput Laut dan Ganggang Lainnya,284.8,184.5,-19.51
Jagung,29.3,5.1,-58.28
