Tanggal,Nilai_Ekspor_Juta_USD,Komoditas
2023-01-01,12.7,Jagung
2023-02-01,9.8,Jagung
2023-03-01,2.0,Jagung
2023-04-01,4.1,Jagung
2024-07-01,11.5,Jagung
2024-08-01,4.1,Jagung
2025-06-01,2.6,Jagung
2025-07-01,0.8,Jagung
2025-05-01,67.5,Tanaman Obat & Rempah
2024-08-01,16.0,Lada Hitam
2024-09-01,35.2,Lada Hitam
2024-10-01,39.1,Lada Hitam
2024-11-01,20.8,Lada Hitam
2024-06-01,14.4,Kakao
2025-04-01,20.6,Sarang Burung
2025-06-01,48.5,Ikan Segar
2023-01-01,32.1,Rumput Laut
2023-03-01,39.4,Rumput Laut
2023-05-01,29.0,Rumput Laut
