Komoditas,count,mean,std,min,25%,50%,75%,max,CV %,Range
Kopi,38.0,138.7473684210526,67.88829751020106,50.2,79.35,114.8,198.57500000000002,270.3,48.92943072201731,220.10000000000002
Buah-buahan Tahunan,38.0,46.25526315789474,21.55929218825623,13.1,28.625,44.95,59.25,93.0,46.60938175762284,79.9
Sarang Burung,38.0,45.852631578947374,9.967616127540369,20.6,41.675,45.95,52.875,65.0,21.738373097252868,44.4
"Tanaman Obat, Aromatik, dan Rempah-Rempah",38.0,42.45789473684211,10.24530562452734,27.1,35.325,39.4,47.475,67.5,24.13050785496708,40.4
Rumput Laut dan Ganggang Lainnya,38.0,17.992105263157896,5.9312904379140345,10.3,14.05,16.75,19.0,39.4,32.96607234762809,29.099999999999998
Sayur-sayuran,38.0,16.139473684210525,13.131858094451152,2.2,4.6499999999999995,12.55,26.875,51.5,81.36484715296655,49.3
Ikan Segar/Dingin Hasil Tangkapan,38.0,11.668421052631578,6.445954325720477,7.2,9.5,10.3,12.3,48.5,55.24272990017549,41.3
Lada Putih,38.0,9.007894736842106,3.765015457342188,3.4,6.199999999999999,8.2,11.9,17.8,41.79684118580285,14.4
Lada Hitam,38.0,7.95,8.071797750124746,1.7,3.7,5.6,8.0,39.1,101.53204717138044,37.4
Tembakau,38.0,7.268421052631578,3.505139490084555,2.1,4.375,6.95,9.5,15.0,48.224221804204596,12.9
Biji Kakao,38.0,5.434210526315789,2.9470348190598403,0.0,4.0,5.550000000000001,7.4,14.4,54.23114921272345,14.4
Jagung,38.0,1.3526315789473684,3.144341708452877,0.0,0.1,0.1,0.375,12.7,232.46106015799478,12.7
Hasil Hutan Bukan Kayu Lainnya,38.0,0.2605263157894737,0.0679406485190926,0.1,0.2,0.3,0.3,0.4,26.078228724500185,0.30000000000000004
