Komoditas,Singkat,Mean,Std,CV_%,Min,Max,Range
Sarang Burung,Sarang Burung,45.85,9.97,21.74,20.6,65.0,44.4
"Tanaman Obat, Aromatik, dan Rempah-Rempah",Tanaman Obat & Rempah,42.46,10.25,24.13,27.1,67.5,40.4
Hasil Hutan Bukan Kayu Lainnya,Hasil Hutan Lain,0.26,0.07,26.08,0.1,0.4,0.3
Rumput Laut dan Ganggang Lainnya,Rumput Laut,17.99,5.93,32.97,10.3,39.4,29.1
Lada Putih,Lada Putih,9.01,3.77,41.8,3.4,17.8,14.4
Buah-buahan Tahunan,Buah Tahunan,46.26,21.56,46.61,13.1,93.0,79.9
Tembakau,Tembakau,7.27,3.51,48.22,2.1,15.0,12.9
Kopi,Kopi,138.75,67.89,48.93,50.2,270.3,220.1
Biji Kakao,Kakao,5.43,2.95,54.23,0.0,14.4,14.4
Ikan Segar/Dingin Hasil Tangkapan,Ikan Segar,11.67,6.45,55.24,7.2,48.5,41.3
Sayur-sayuran,Sayuran,16.14,13.13,81.36,2.2,51.5,49.3
Lada Hitam,Lada Hitam,7.95,8.07,101.53,1.7,39.1,37.4
Jagung,Jagung,1.35,3.14,232.46,0.0,12.7,12.7
