Komoditas,Puncak,Puncak_Nilai,Lembah,Lembah_Nilai,Amplitudo,Rasio_Puncak_Lembah
Kopi,Okt,198.3,Apr,89.27,109.03,2.22
Buah Tahunan,Nov,64.2,Jun,26.43,37.77,2.43
Sayuran,Jun,31.8,Jan,3.78,28.02,8.42
Sarang Burung,Mar,56.37,Apr,35.77,20.6,1.58
Tanaman Obat & Rempah,Mei,50.43,Jan,35.02,15.41,1.44
Ikan Segar,Jun,22.2,Apr,8.6,13.6,2.58
Lada Hitam,Okt,17.37,Apr,4.77,12.6,3.64
Rumput Laut,Mar,23.77,Des,13.67,10.1,1.74
Tembakau,Jul,11.93,Jan,2.65,9.28,4.5
Kakao,Jun,9.13,Okt,3.6,5.53,2.54
Jagung,Jul,4.13,Mei,0.1,4.03,41.33
Lada Putih,Nov,11.2,Jun,7.17,4.03,1.56
Hasil Hutan Lain,Mar,0.33,Apr,0.17,0.17,2.0
