Komoditas,Singkat,Mean,CV,CAGR,Amplitudo,Slope,Scale,Cluster
Sayur-sayuran,Sayuran,16.13947368421053,81.36484715296652,0.3792167364015524,28.025000000000002,0.3020790020790021,16.13947368421053,0
Tembakau,Tembakau,7.268421052631578,48.224221804204596,-0.04719671422560234,9.283333333333331,-0.019520735310209057,7.268421052631578,0
Jagung,Jagung,1.3526315789473686,232.46106015799478,-0.5827932964978882,4.033333333333334,-0.09963891016522597,1.3526315789473686,0
Kopi,Kopi,138.74736842105264,48.9294307220173,0.6521331565082615,109.03333333333339,4.6439435386803805,138.74736842105264,1
"Tanaman Obat, Aromatik, dan Rempah-Rempah",Tanaman Obat & Rempah,42.45789473684211,24.13050785496708,0.1750304143444823,15.408333333333339,0.48186891344786065,42.45789473684211,0
Lada Hitam,Lada Hitam,7.95,101.53204717138044,0.6046806535881213,12.599999999999998,0.20939927782033044,7.95,0
Lada Putih,Lada Putih,9.007894736842108,41.79684118580283,0.4241379898326241,4.033333333333334,0.21799978115767582,9.007894736842108,0
Biji Kakao,Kakao,5.4342105263157885,54.23114921272346,0.23125605428576534,5.533333333333333,0.04180982602035234,5.4342105263157885,0
Buah-buahan Tahunan,Buah Tahunan,46.25526315789474,46.60938175762284,0.5096172399511634,37.766666666666666,1.1484298063245428,46.25526315789474,0
Sarang Burung,Sarang Burung,45.85263157894737,21.738373097252868,-0.13456728035485244,20.6,-0.46499617025932855,45.85263157894737,0
Hasil Hutan Bukan Kayu Lainnya,Hasil Hutan Lain,0.2605263157894737,26.078228724500192,0.03175390914319198,0.16666666666666666,0.00018601597548966053,0.2605263157894737,0
Ikan Segar/Dingin Hasil Tangkapan,Ikan Segar,11.668421052631578,55.24272990017549,0.3340750826501777,13.6,0.22904037640879743,11.668421052631578,0
Rumput Laut dan Ganggang Lainnya,Rumput Laut,17.99210526315789,32.96607234762811,-0.19512545467764664,10.1,-0.35573913994966655,17.99210526315789,0
