Komoditas,Tahun,Nilai_Ekspor_Juta_USD,Bulan,Tanggal
Jumlah,2023,373.5,1,2023-01-01
Jumlah,2023,337.3,2,2023-02-01
Jumlah,2023,377.4,3,2023-03-01
Jumlah,2023,292.3,4,2023-04-01
Jumlah,2023,390.2,5,2023-05-01
Jumlah,2023,358.5,6,2023-06-01
Jumlah,2023,377.2,7,2023-07-01
Jumlah,2023,389.5,8,2023-08-01
Jumlah,2023,405.2,9,2023-09-01
Jumlah,2023,372.6,10,2023-10-01
Jumlah,2023,371.8,11,2023-11-01
Jumlah,2023,355.2,12,2023-12-01
Jumlah,2024,374.2,1,2024-01-01
Jumlah,2024,368.9,2,2024-02-01
Jumlah,2024,430.0,3,2024-03-01
Jumlah,2024,298.7,4,2024-04-01
Jumlah,2024,397.8,5,2024-05-01
Jumlah,2024,392.4,6,2024-06-01
Jumlah,2024,498.1,7,2024-07-01
Jumlah,2024,543.6,8,2024-08-01
Jumlah,2024,562.1,9,2024-09-01
Jumlah,2024,663.9,10,2024-10-01
Jumlah,2024,579.0,11,2024-11-01
Jumlah,2024,579.5,12,2024-12-01
Jumlah,2025,547.3,1,2025-01-01
Jumlah,2025,564.3,2,2025-02-01
Jumlah,2025,575.1,3,2025-03-01
Jumlah,2025,479.9,4,2025-04-01
Jumlah,2025,634.3,5,2025-05-01
Jumlah,2025,586.9,6,2025-06-01
Jumlah,2025,576.2,7,2025-07-01
Jumlah,2025,603.3,8,2025-08-01
Jumlah,2025,625.5,9,2025-09-01
Jumlah,2025,630.3,10,2025-10-01
Jumlah,2025,543.8,11,2025-11-01
Jumlah,2025,516.3,12,2025-12-01
Jumlah,2026,435.9,1,2026-01-01
Jumlah,2026,386.9,2,2026-02-01
Jumlah,2026,,3,2026-03-01
Jumlah,2026,,4,2026-04-01
Jumlah,2026,,5,2026-05-01
Jumlah,2026,,6,2026-06-01
Jumlah,2026,,7,2026-07-01
Jumlah,2026,,8,2026-08-01
Jumlah,2026,,9,2026-09-01
Jumlah,2026,,10,2026-10-01
Jumlah,2026,,11,2026-11-01
Jumlah,2026,,12,2026-12-01
Lainnya,2023,118.9,1,2023-01-01
Lainnya,2023,92.4,2,2023-02-01
Lainnya,2023,118.9,3,2023-03-01
Lainnya,2023,86.4,4,2023-04-01
Lainnya,2023,108.6,5,2023-05-01
Lainnya,2023,93.4,6,2023-06-01
Lainnya,2023,110.6,7,2023-07-01
Lainnya,2023,101.7,8,2023-08-01
Lainnya,2023,117.1,9,2023-09-01
Lainnya,2023,93.7,10,2023-10-01
Lainnya,2023,100.0,11,2023-11-01
Lainnya,2023,118.9,12,2023-12-01
Lainnya,2024,124.5,1,2024-01-01
Lainnya,2024,126.7,2,2024-02-01
Lainnya,2024,125.2,3,2024-03-01
Lainnya,2024,94.2,4,2024-04-01
Lainnya,2024,115.5,5,2024-05-01
Lainnya,2024,98.1,6,2024-06-01
Lainnya,2024,119.7,7,2024-07-01
Lainnya,2024,125.5,8,2024-08-01
Lainnya,2024,121.4,9,2024-09-01
Lainnya,2024,133.0,10,2024-10-01
Lainnya,2024,149.3,11,2024-11-01
Lainnya,2024,154.8,12,2024-12-01
Lainnya,2025,132.6,1,2025-01-01
Lainnya,2025,142.2,2,2025-02-01
Lainnya,2025,127.1,3,2025-03-01
Lainnya,2025,123.4,4,2025-04-01
Lainnya,2025,140.5,5,2025-05-01
Lainnya,2025,100.7,6,2025-06-01
Lainnya,2025,122.7,7,2025-07-01
Lainnya,2025,122.1,8,2025-08-01
Lainnya,2025,117.1,9,2025-09-01
Lainnya,2025,122.2,10,2025-10-01
Lainnya,2025,113.6,11,2025-11-01
Lainnya,2025,130.7,12,2025-12-01
Lainnya,2026,120.0,1,2026-01-01
Lainnya,2026,116.8,2,2026-02-01
Lainnya,2026,,3,2026-03-01
Lainnya,2026,,4,2026-04-01
Lainnya,2026,,5,2026-05-01
Lainnya,2026,,6,2026-06-01
Lainnya,2026,,7,2026-07-01
Lainnya,2026,,8,2026-08-01
Lainnya,2026,,9,2026-09-01
Lainnya,2026,,10,2026-10-01
Lainnya,2026,,11,2026-11-01
Lainnya,2026,,12,2026-12-01
