Komoditas,Tahun,Nilai_Ekspor_Juta_USD,Bulan,Tanggal
Biji Kakao,2023,4.7,1,2023-01-01
Biji Kakao,2023,4.0,2,2023-02-01
Biji Kakao,2023,3.1,3,2023-03-01
Biji Kakao,2023,3.1,4,2023-04-01
Biji Kakao,2023,7.1,5,2023-05-01
Biji Kakao,2023,5.0,6,2023-06-01
Biji Kakao,2023,2.8,7,2023-07-01
Biji Kakao,2023,0.4,8,2023-08-01
Biji Kakao,2023,4.7,9,2023-09-01
Biji Kakao,2023,0.1,10,2023-10-01
Biji Kakao,2023,7.9,11,2023-11-01
Biji Kakao,2023,4.0,12,2023-12-01
Biji Kakao,2024,6.7,1,2024-01-01
Biji Kakao,2024,7.5,2,2024-02-01
Biji Kakao,2024,4.6,3,2024-03-01
Biji Kakao,2024,6.8,4,2024-04-01
Biji Kakao,2024,0.0,5,2024-05-01
Biji Kakao,2024,14.4,6,2024-06-01
Biji Kakao,2024,7.0,7,2024-07-01
Biji Kakao,2024,6.3,8,2024-08-01
Biji Kakao,2024,7.5,9,2024-09-01
Biji Kakao,2024,4.7,10,2024-10-01
Biji Kakao,2024,4.8,11,2024-11-01
Biji Kakao,2024,10.3,12,2024-12-01
Biji Kakao,2025,6.6,1,2025-01-01
Biji Kakao,2025,8.0,2,2025-02-01
Biji Kakao,2025,4.7,3,2025-03-01
Biji Kakao,2025,8.2,4,2025-04-01
Biji Kakao,2025,8.4,5,2025-05-01
Biji Kakao,2025,8.0,6,2025-06-01
Biji Kakao,2025,7.6,7,2025-07-01
Biji Kakao,2025,5.8,8,2025-08-01
Biji Kakao,2025,2.2,9,2025-09-01
Biji Kakao,2025,6.0,10,2025-10-01
Biji Kakao,2025,0.2,11,2025-11-01
Biji Kakao,2025,5.4,12,2025-12-01
Biji Kakao,2026,2.2,1,2026-01-01
Biji Kakao,2026,5.7,2,2026-02-01
Biji Kakao,2026,,3,2026-03-01
Biji Kakao,2026,,4,2026-04-01
Biji Kakao,2026,,5,2026-05-01
Biji Kakao,2026,,6,2026-06-01
Biji Kakao,2026,,7,2026-07-01
Biji Kakao,2026,,8,2026-08-01
Biji Kakao,2026,,9,2026-09-01
Biji Kakao,2026,,10,2026-10-01
Biji Kakao,2026,,11,2026-11-01
Biji Kakao,2026,,12,2026-12-01
Buah-buahan Tahunan,2023,28.5,1,2023-01-01
Buah-buahan Tahunan,2023,29.8,2,2023-02-01
Buah-buahan Tahunan,2023,24.5,3,2023-03-01
Buah-buahan Tahunan,2023,13.1,4,2023-04-01
Buah-buahan Tahunan,2023,16.3,5,2023-05-01
Buah-buahan Tahunan,2023,21.6,6,2023-06-01
Buah-buahan Tahunan,2023,25.6,7,2023-07-01
Buah-buahan Tahunan,2023,20.0,8,2023-08-01
